nom;code_postal;latitude;longitude
L'Abergement-Clémenciat;1400;46.153;4.926
L'Abergement-de-Varey;1640;46.009;5.428
Ambérieu-en-Bugey;1500;45.961;5.373
Ambérieux-en-Dombes;1330;45.996;4.912
Ambléon;1300;45.75;5.594
Ambronay;1500;46.006;5.358
Ambutrix;1500;45.937;5.333
Andert-et-Condon;1300;45.787;5.658
Anglefort;1350;45.909;5.795
Apremont;1100;46.206;5.658
Aranc;1110;46.002;5.511
Arandas;1230;45.891;5.499
Arbent;1100;46.284;5.691
Arboys en Bugey;1300;45.724;5.653
Arbigny;1190;46.478;4.96
Argis;1230;45.934;5.482
Armix;1510;45.854;5.584
Ars-sur-Formans;1480;45.994;4.822
Artemare;1510;45.87;5.691
Asnières-sur-Saône;1570;46.386;4.884
Attignat;1340;46.286;5.18
Bâgé-Dommartin;1380;46.323;4.953
Bâgé-le-Châtel;1380;46.308;4.929
Balan;1360;45.831;5.108
Baneins;1990;46.114;4.902
Beaupont;1270;46.429;5.26
Beauregard;1480;46.001;4.756
Bellignat;1100;46.237;5.636
Béligneux;1360;45.859;5.14
Valserhône;1200;46.107;5.832
Belley;1300;45.75;5.684
Belleydoux;1130;46.253;5.785
Valromey-sur-Séran;1260;45.885;5.651
Bénonces;1470;45.838;5.483
Bény;1370;46.319;5.282
Béréziat;1340;46.367;5.04
Bettant;1500;45.937;5.367
Bey;1290;46.219;4.846
Beynost;1700;45.839;4.997
Billiat;1200;46.079;5.766
Birieux;1330;45.953;5.037
Biziat;1290;46.227;4.941
Blyes;1150;45.847;5.252
La Boisse;1120;45.845;5.028
Boissey;1380;46.373;4.999
Bolozon;1450;46.196;5.471
Bouligneux;1330;46.023;4.992
Bourg-en-Bresse;1000;46.205;5.246
Bourg-Saint-Christophe;1800;45.886;5.144
Boyeux-Saint-Jérôme;1640;46.036;5.463
Boz;1190;46.405;4.914
Brégnier-Cordon;1300;45.642;5.616
Brénod;1110;46.076;5.614
Brens;1300;45.714;5.69
Bressolles;1360;45.869;5.101
Brion;1460;46.169;5.547
Briord;1470;45.771;5.485
Buellas;1310;46.21;5.145
La Burbanche;1510;45.86;5.546
Ceignes;1430;46.126;5.495
Cerdon;1450;46.072;5.476
Certines;1240;46.134;5.262
Cessy;1170;46.316;6.078
Ceyzériat;1250;46.183;5.32
Ceyzérieu;1350;45.834;5.719
Chalamont;1320;46.008;5.169
Chaleins;1480;46.034;4.798
Chaley;1230;45.953;5.537
Challes-la-Montagne;1450;46.122;5.458
Challex;1630;46.177;5.971
Champagne-en-Valromey;1260;45.932;5.693
Champdor-Corcelles;1110;46.02;5.6
Champfromier;1410;46.22;5.822
Chanay;1420;46.006;5.769
Chaneins;1990;46.094;4.855
Chanoz-Châtenay;1400;46.186;5.028
La Chapelle-du-Châtelard;1240;46.074;5.022
Charix;1130;46.186;5.681
Charnoz-sur-Ain;1800;45.874;5.221
Château-Gaillard;1500;45.973;5.308
Châtenay;1320;46.026;5.205
Châtillon-la-Palud;1320;45.975;5.242
Châtillon-sur-Chalaronne;1400;46.123;4.958
Chavannes-sur-Reyssouze;1190;46.438;5.007
Nivigne et Suran;1250;46.275;5.416
Chaveyriat;1660;46.199;5.056
Chazey-Bons;1300;45.793;5.685
Chazey-sur-Ain;1150;45.893;5.255
Cheignieu-la-Balme;1510;45.823;5.605
Chevillard;1430;46.11;5.581
Chevroux;1190;46.382;4.963
Chevry;1170;46.283;6.047
Chézery-Forens;1410;46.223;5.872
Civrieux;1390;45.922;4.886
Cize;1250;46.2;5.451
Cleyzieu;1230;45.902;5.433
Coligny;1270;46.387;5.331
Collonges;1550;46.142;5.9
Colomieu;1300;45.736;5.627
Conand;1230;45.884;5.475
Condamine;1430;46.106;5.556
Condeissiat;1400;46.154;5.084
Confort;1200;46.154;5.833
Confrançon;1310;46.27;5.058
Contrevoz;1300;45.801;5.621
Conzieu;1300;45.725;5.604
Corbonod;1420;45.966;5.79
Corlier;1110;46.034;5.496
Cormoranche-sur-Saône;1290;46.24;4.828
Cormoz;1560;46.434;5.222
Corveissiat;1250;46.25;5.472
Courmangoux;1370;46.327;5.356
Courtes;1560;46.457;5.111
Crans;1320;45.966;5.195
Bresse Vallons;1340;46.313;5.178
Cressin-Rochefort;1350;45.783;5.766
Crottet;1290;46.283;4.878
Crozet;1170;46.292;5.995
Cruzilles-lès-Mépillat;1290;46.222;4.875
Culoz-Béon;1350;45.856;5.784
Curciat-Dongalon;1560;46.488;5.163
Curtafond;1310;46.273;5.102
Cuzieu;1300;45.82;5.677
Dagneux;1120;45.853;5.073
Divonne-les-Bains;1220;46.376;6.116
Dompierre-sur-Veyle;1240;46.067;5.217
Dompierre-sur-Chalaronne;1400;46.142;4.901
Domsure;1270;46.424;5.293
Dortan;1590;46.313;5.642
Douvres;1500;45.984;5.371
Drom;1250;46.22;5.368
Druillat;1160;46.068;5.294
Échallon;1130;46.227;5.733
Échenevex;1170;46.316;6.019
Évosges;1230;45.965;5.503
Faramans;1800;45.91;5.125
Fareins;1480;46.021;4.762
Farges;1550;46.166;5.9
Feillens;1570;46.337;4.885
Ferney-Voltaire;1210;46.252;6.108
Flaxieu;1350;45.811;5.745
Foissiat;1340;46.378;5.185
Francheleins;1090;46.074;4.813
Frans;1480;45.994;4.78
Garnerans;1140;46.214;4.828
Genouilleux;1090;46.12;4.793
Béard-Géovreissiat;1460;46.19;5.551
Géovreisset;1100;46.251;5.613
Gex;1170;46.347;6.046
Giron;1130;46.223;5.78
Gorrevod;1190;46.415;4.951
Grand-Corent;1250;46.207;5.433
Grièges;1290;46.263;4.846
Grilly;1220;46.332;6.114
Groissiat;1100;46.226;5.611
Guéreins;1090;46.107;4.782
Hautecourt-Romanèche;1250;46.161;5.429
Plateau d'Hauteville;1110;45.97;5.576
Haut Valromey;1260;46.032;5.703
Illiat;1140;46.187;4.888
Injoux-Génissiat;1200;46.05;5.76
Innimond;1680;45.792;5.574
Izenave;1430;46.038;5.524
Izernore;1580;46.218;5.563
Izieu;1300;45.656;5.639
Jassans-Riottier;1480;45.978;4.76
Jasseron;1250;46.215;5.312
Jayat;1340;46.366;5.114
Journans;1250;46.146;5.334
Joyeux;1800;45.95;5.103
Jujurieux;1640;46.05;5.411
Labalme;1450;46.093;5.494
Lagnieu;1150;45.892;5.329
Laiz;1290;46.247;4.899
Le Poizat-Lalleyriat;1130;46.148;5.718
Lantenay;1430;46.054;5.541
Lapeyrouse;1330;45.986;4.982
Lavours;1350;45.811;5.773
Léaz;1200;46.109;5.876
Lélex;1410;46.286;5.929
Lent;1240;46.116;5.202
Lescheroux;1560;46.412;5.151
Leyment;1150;45.927;5.295
Leyssard;1450;46.162;5.476
Surjoux-Lhopital;1420;46.024;5.762
Lhuis;1680;45.744;5.536
Lompnas;1680;45.811;5.523
Loyettes;1360;45.792;5.218
Lurcy;1090;46.062;4.781
Magnieu;1300;45.775;5.715
Maillat;1430;46.12;5.528
Malafretaz;1340;46.33;5.144
Mantenay-Montlin;1560;46.43;5.107
Manziat;1570;46.364;4.902
Marboz;1851;46.343;5.244
Marchamp;1680;45.774;5.55
Marignieu;1300;45.801;5.716
Marlieux;1240;46.055;5.074
Marsonnas;1340;46.341;5.064
Martignat;1100;46.203;5.614
Massieux;1600;45.909;4.828
Massignieu-de-Rives;1300;45.757;5.762
Matafelon-Granges;1580;46.256;5.54
Meillonnas;1370;46.245;5.336
Mérignat;1450;46.065;5.442
Messimy-sur-Saône;1480;46.047;4.759
Meximieux;1800;45.906;5.204
Bohas-Meyriat-Rignat;1250;46.143;5.378
Mézériat;1660;46.242;5.047
Mijoux;1170;46.362;6.009
Mionnay;1390;45.896;4.924
Miribel;1700;45.844;4.941
Misérieux;1600;45.976;4.81
Mogneneins;1140;46.145;4.82
Montagnat;1250;46.169;5.28
Montagnieu;1470;45.799;5.464
Montanges;1200;46.173;5.79
Montceaux;1090;46.096;4.804
Montcet;1310;46.219;5.112
Le Montellier;1800;45.929;5.071
Monthieux;1390;45.962;4.946
Montluel;1120;45.891;5.02
Montmerle-sur-Saône;1090;46.085;4.761
Montracol;1310;46.187;5.117
Montréal-la-Cluse;1460;46.18;5.595
Montrevel-en-Bresse;1340;46.325;5.113
Nurieux-Volognat;1460;46.183;5.514
Murs-et-Gélignieux;1300;45.642;5.66
Nantua;1130;46.154;5.614
Neuville-les-Dames;1400;46.157;5.009
Neuville-sur-Ain;1160;46.091;5.374
Les Neyrolles;1130;46.134;5.637
Neyron;1700;45.818;4.931
Niévroz;1120;45.822;5.06
Nivollet-Montgriffon;1230;46.0;5.458
Oncieu;1230;45.965;5.472
Ordonnaz;1510;45.834;5.54
Ornex;1210;46.278;6.094
Outriaz;1430;46.068;5.557
Oyonnax;1100;46.26;5.653
Ozan;1190;46.387;4.918
Parcieux;1600;45.918;4.828
Parves et Nattages;1300;45.744;5.738
Péron;1630;46.191;5.92
Péronnas;1960;46.171;5.218
Pérouges;1800;45.88;5.18
Perrex;1540;46.246;4.975
Peyriat;1430;46.15;5.506
Peyrieu;1300;45.676;5.679
Peyzieux-sur-Saône;1140;46.123;4.822
Pirajoux;1270;46.386;5.274
Pizay;1120;45.893;5.089
Plagne;1130;46.188;5.718
Le Plantay;1330;46.023;5.089
